PC1,PC2,PC3,PC4,PC5
1.127502184,-0.233981804,0.361286082,-0.096744363,0.387838672
1.229367646,-0.276668718,0.343543415,-0.041671482,0.409071794
1.155820463,-0.276565848,0.228535535,-0.191016938,0.248602796
1.277125855,-0.240395098,0.045158536,-0.224642561,0.064326867
0.940107228,-0.324579155,0.127067868,-0.244337656,0.184291952
0.976354445,0.248005516,-0.262504332,0.228864702,0.342599809
0.956685708,0.268941298,-0.099992116,0.454434497,0.511167202
0.877800986,0.116963358,-0.176413976,0.425239681,0.623045751
1.065241061,0.358743753,-0.164038894,0.295882056,0.504934437
1.012262254,0.43795441,-0.223111293,0.248608046,0.352650095
0.567543963,0.24875344,0.177999101,-0.060900237,0.121160501
0.419052302,0.171479891,0.16287926,-0.085019753,0.255652484
0.139693344,0.238799234,0.322988867,0.026934545,0.204536605
0.718545171,0.393562584,0.020138443,-0.275896125,0.324478878
0.296782847,0.140118158,0.138394698,-0.005656207,0.22405844
0.391371738,0.62352217,0.286254784,0.10252562,0.613465779
-0.156837215,0.041195267,-0.68503401,0.341437317,0.202601188
-0.452708451,-0.462800138,-0.689508546,-0.120440897,0.033313056
-0.403494341,-0.361436698,-0.175594709,0.206153937,0.167469642
-0.460884851,-0.515715574,-0.52108388,-0.092352277,-0.015413301
-0.881860435,0.389849886,-0.614444553,-0.603689146,-0.013035878
-0.84915895,0.389491807,-0.768719266,-0.489216973,-0.178894999
